ZOMET_IRONI,SEMEL_YISHUV,X,Y,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
9550002.0,8700,187097.0,676713.0,2023,1,59,4,1,4,1,9,3,0,1,1,2,3,1,1,2.0,1,1,42,16,2,1.32,58.0
9550002.0,8700,187097.0,676713.0,2023,1,59,4,1,4,1,9,3,0,1,1,2,3,1,1,2.0,1,1,42,10,1,1.32,32.0
92872805.0,3000,216814.0,633142.0,2023,11,33,4,1,4,1,8,3,0,1,1,2,3,1,0,1.0,1,1,11,14,1,0.6,33.0
80525.0,4000,200111.0,746531.0,2023,9,41,4,1,5,1,8,2,0,1,1,2,3,1,0,6.0,1,1,31,15,1,3.12,49.0
80525.0,4000,200111.0,746531.0,2023,9,41,4,1,5,1,8,2,0,1,1,2,3,1,0,6.0,1,1,31,13,1,3.12,46.0
8590059.0,2630,179004.0,611942.0,2023,3,58,4,1,3,1,8,0,3,1,1,4,3,1,0,6.0,1,1,61,8,1,1.32,21.0
8590059.0,2630,179004.0,611942.0,2023,3,58,4,1,3,1,8,0,3,1,1,4,3,1,0,6.0,1,1,61,11,2,1.32,36.0
24410661.0,3000,222802.0,636986.0,2023,5,92,4,5,2,1,9,0,3,1,0,3,3,3,1,2.0,1,1,11,11,1,1.32,28.0
24410661.0,3000,222802.0,636986.0,2023,5,92,4,5,2,1,9,0,3,1,0,3,3,3,1,2.0,1,1,11,10,1,1.32,31.0
130031.0,7400,186813.0,692615.0,2023,2,59,4,1,7,1,8,0,2,1,1,5,4,1,1,2.0,1,1,41,99,0,0.6,
23760725.0,3000,219127.0,635519.0,2023,12,65,4,1,7,1,9,0,3,1,1,3,3,1,1,2.0,1,1,11,6,1,4.12,7.0
99970461.0,7900,186932.0,664536.0,2023,2,76,4,5,4,1,8,0,3,4,1,5,4,3,0,1.0,1,1,42,14,1,3.12,51.0
99970461.0,7900,186932.0,664536.0,2023,2,76,4,5,4,1,8,0,3,4,1,5,4,3,0,1.0,1,1,42,13,1,3.12,35.0
99970461.0,7900,186932.0,664536.0,2023,2,76,4,5,4,1,8,0,3,4,1,5,4,3,0,1.0,1,1,42,14,1,3.12,51.0
12730533.0,3000,220970.0,629028.0,2023,4,56,4,1,5,1,8,2,0,1,1,3,3,1,1,2.0,2,1,11,10,1,0.9,28.0
7920011.0,70,166921.0,633332.0,2023,3,46,4,1,4,1,8,0,3,1,1,5,3,1,1,2.0,1,1,61,12,1,8.88,28.0
7920011.0,70,166921.0,633332.0,2023,3,46,4,1,4,1,8,0,3,1,1,5,3,1,1,2.0,1,1,61,8,1,8.88,21.0
11670122.0,4000,207561.0,746985.0,2023,5,89,4,5,4,1,8,3,0,2,1,3,3,6,1,2.0,1,1,31,12,2,8.52,7.0
11670122.0,4000,207561.0,746985.0,2023,5,89,4,5,4,1,8,3,0,2,1,3,3,6,1,2.0,1,1,31,8,1,8.52,22.0
11670122.0,4000,207561.0,746985.0,2023,5,89,4,5,4,1,8,3,0,2,1,3,3,6,1,2.0,1,1,31,99,0,8.52,
9800555.0,6500,190545.0,705379.0,2023,2,67,4,1,4,1,9,0,3,1,1,5,3,1,1,4.0,2,2,32,5,1,1.92,6.0
11070312.0,9000,180604.0,576005.0,2023,2,51,4,1,4,1,9,0,3,2,1,5,3,1,1,2.0,2,2,62,15,1,1.92,53.0
11070312.0,9000,180604.0,576005.0,2023,2,51,4,1,4,1,9,0,3,2,1,5,3,1,1,2.0,2,2,62,13,2,1.92,33.0
11070312.0,9000,180604.0,576005.0,2023,2,51,4,1,4,1,9,0,3,2,1,5,3,1,1,2.0,2,2,62,10,1,1.92,32.0
9370006.0,8700,188295.0,677595.0,2023,3,40,4,1,2,1,8,0,3,1,1,5,3,1,0,5.0,1,1,42,6,1,1.32,10.0
9370006.0,8700,188295.0,677595.0,2023,3,40,4,1,2,1,8,0,3,1,1,5,3,1,0,5.0,1,1,42,13,1,1.32,55.0
67750068.0,6100,184454.0,665901.0,2023,12,53,4,1,5,1,4,2,0,1,1,3,3,1,1,2.0,1,1,51,9,1,0.6,24.0
8220011.0,6400,186206.0,675563.0,2023,7,87,4,5,5,1,8,3,0,1,1,4,4,3,1,2.0,1,1,51,5,1,1.32,5.0
8220011.0,6400,186206.0,675563.0,2023,7,87,4,5,5,1,8,3,0,1,1,4,4,3,1,2.0,1,1,51,99,0,1.32,
25610543.0,3000,220825.0,628598.0,2023,5,57,4,1,3,1,9,0,3,1,1,2,3,1,1,3.0,1,1,11,11,1,5.04,35.0
92871079.0,3000,221083.0,631069.0,2023,5,38,4,1,5,1,9,3,0,1,1,2,3,1,1,2.0,1,1,11,14,2,0.9,37.0
15680110.0,9600,208108.0,751804.0,2023,8,60,4,1,1,1,9,0,2,1,1,2,5,11,1,2.0,9,9,31,16,1,6.36,53.0
15680110.0,9600,208108.0,751804.0,2023,8,60,4,1,1,1,9,0,2,1,1,2,5,11,1,2.0,9,9,31,14,1,6.36,51.0
8370004.0,2600,193483.0,386245.0,2023,3,64,1,1,3,1,8,0,1,1,1,2,3,1,0,1.0,1,1,62,9,1,1.92,16.0
8370004.0,2600,193483.0,386245.0,2023,3,64,1,1,3,1,8,0,1,1,1,2,3,1,0,1.0,1,1,62,4,2,1.92,4.0
110001.0,1020,192845.0,712094.0,2023,12,34,4,1,4,1,9,9,0,0,0,0,5,11,9,,9,9,32,14,1,1.32,44.0
110001.0,1020,192845.0,712094.0,2023,12,34,4,1,4,1,9,9,0,0,0,0,5,11,9,,9,9,32,7,2,1.32,6.0
10590422.0,7400,186493.0,691029.0,2023,7,70,4,1,1,1,9,3,0,1,1,3,3,1,1,2.0,1,1,41,4,2,2.52,4.0
10590422.0,7400,186493.0,691029.0,2023,7,70,4,1,1,1,9,3,0,1,1,3,3,1,1,2.0,1,1,41,4,1,2.52,2.0
